,Address,Lat,Long,Zipcode
311,"8400 EDGEWATER DRIVE, Oakland, CA",37.7389999,-122.1989043,94621
312,"1500 MOUNTAIN BLVD, Oakland, CA",37.8352395,-122.216438,94611
313,"7300 HALLIDAY AV, Oakland, CA",37.7653655,-122.1774368,94605
314,"10700 ACALANES DR, Oakland, CA",37.7316377,-122.1767676,94603
315,"1200 WOOD ST, Oakland, CA",37.8119016,-122.2989356,94607
316,"4100 SEACOR CT, Oakland, CA",37.7692541,-122.1536558,94605
317,"3500 MOUNTAIN BLVD, Oakland, CA",37.8029258,-122.186977,94619
318,"VALDEZ ST, Oakland, CA",37.8131231,-122.2638258,94612
319,"3600 MADRONE AVE, Oakland, CA",37.7872467,-122.1932989,94619
320,"1600 29TH AV, Oakland, CA",37.7809615,-122.2274862,94601
321,"800 19TH ST, Oakland, CA",37.8109119,-122.2774457,94607
322,"1200 72ND AV, Oakland, CA",37.75855809999999,-122.1895382,94621
323,"4900 HARBORD DR, Oakland, CA",37.8372837,-122.2303566,94618
324,"2800 E 17TH ST, Oakland, CA",37.7822969,-122.2275653,94601
325,"700 27TH ST, Oakland, CA",37.8175809,-122.273048,94612
326,"1800 PARK BLVD, Oakland, CA",37.7987658,-122.2500567,94606
327,"JACKSON ST, Oakland, CA",37.7995807,-122.2667556,94607
328,"900 WILLOW ST, Oakland, CA",37.8089368,-122.2992883,94607
329,"38TH AV, Oakland, CA",37.7838349,-122.2098636,94601
330,"1200 E 18TH ST, Oakland, CA",37.7932318,-122.2443218,94606
331,"600 CLARA ST, Oakland, CA",37.7376027,-122.187491,94603
332,"1700 ADELINE ST, Oakland, CA",37.8117538,-122.2849937,94607
333,"00 MALTA CT, Oakland, CA",37.7279193,-122.1843558,94603
334,"2200 83RD AV, Oakland, CA",37.7592741,-122.1697663,94621
335,"1100 101ST AVE, Oakland, CA",37.739444,-122.1733854,94603
336,"5400 WENTWORTH AV, Oakland, CA",37.770271,-122.2006112,94601
337,"7600 HANSOM DRIVE, Oakland, CA",37.7797053,-122.1433138,94605
338,"2200 MACARTHUR BOULEVARD, Oakland, CA",37.8004828,-122.2159168,94602
339,"32N D ST&SAN PABLO AV, Oakland, CA",37.809952,-122.295452,94608
340,"35TH AV & FOOTHILL BLVD, Oakland, CA",37.7822184,-122.2191186,94601
341,"1300 JACKSON ST, Oakland, CA",37.801322,-122.2656535,94612
342,"6900 LYON AV, Oakland, CA",37.7812306,-122.205503,94601
343,"4400 PIEDMONT AVE, Oakland, CA",37.8301339,-122.2469324,94611
344,"CHABOT ROAD, Oakland, CA",37.8500228,-122.2445828,94618
345,"300 WEBSTER ST, Oakland, CA",37.7959182,-122.2731426,94607
346,"4100 PARK BOULEVARD, Oakland, CA",37.8062494,-122.2241511,94602
347,"55TH AV & EDGERLY ST, Oakland, CA",37.7701238,-122.19945,94621
348,"3800 TURQUOISE WY, Oakland, CA",37.8275748,-122.2659748,94609
349,"1000 EMBARCADERO, Oakland, CA",37.7876981,-122.2539631,94606
350,"6800 FOOTHILL BLVD, Oakland, CA",37.7699772,-122.1784799,94605
351,"300 HANOVER AV, Oakland, CA",37.80269699999999,-122.2521099,94606
352,"1000 98TH AV, Oakland, CA",37.740531,-122.177566,94603
353,"35TH AV & GALINDO ST, Oakland, CA",37.7842447,-122.2167244,94601
354,"7700 KRAUSE AV, Oakland, CA",37.7628716,-122.1763394,94605
355,"600 53RD ST, Oakland, CA",37.8384667,-122.2658745,94609
356,"1700 3RD AV, Oakland, CA",37.7989858,-122.2530176,94606
357,"BROADWAY & 14TH ST, Oakland, CA",37.8043242,-122.2711683,94612
358,"1400 20TH AV, Oakland, CA",37.7858369,-122.2399852,94606
359,"2900 FRUITVALE AV, Oakland, CA",37.7933424,-122.2187682,94602
360,"ALAMEDA AV & FRUITVALE AV, Oakland, CA",37.7695896,-122.2297459,94601
