,CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,Lat,Long,Zip
2449,MOTOR VEHICLE THEFT,2018-01-24 00:34:00,18-004178,VEHICLE THEFT - AUTO,27X,5100 FAIRFAX AV,Oakland,CA,37.7751999,-122.2005033,94601
2450,DRUGS/ALCOHOL VIOLATIONS,2018-01-24 11:35:00,18-004244,POSSESS NARCOTIC CONTROLLED SUBSTANCE,07X,3400 CHESTNUT ST,Oakland,CA,37.8254559,-122.2787914,94608
2451,ROBBERY,2018-01-24 11:00:00,18-004248,ROBBERY-FIREARM,03X,300 9TH ST,Oakland,CA,37.7994965,-122.2697819,94607
2452,BURGLARY,2018-01-23 22:00:00,18-004224,BURGLARY-FORCIBLE ENTRY,32Y,10700 MACARTHUR BLVD,Oakland,CA,37.7431042,-122.1503889,94605
2453,MOTOR VEHICLE THEFT,2018-01-24 10:02:00,18-004225,VEHICLE THEFT - AUTO,19X,2200 E 12TH ST,Oakland,CA,37.78389019999999,-122.2380686,94606
2454,BURGLARY,2018-01-24 08:25:00,18-004227,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,28X,3500 PIERSON ST,Oakland,CA,37.7828676,-122.1891204,94619
2455,THEFT/LARCENY,2018-02-10 03:42:00,18-007395,THEFT,16Y,1100 NORWOOD AV,Oakland,CA,37.8086847,-122.2241067,94610
2456,ASSAULT,2018-01-24 07:30:00,18-004228,BATTERY,02Y,1600 8TH ST,Oakland,CA,37.8070361,-122.297432,94607
2457,MOTOR VEHICLE THEFT,2018-01-23 17:00:00,18-004229,VEHICLE THEFT - AUTO,05X,700 22ND ST,Oakland,CA,37.8123714,-122.2750947,94612
2458,THEFT/LARCENY,2018-01-25 10:00:00,18-004451,THEFT,06X,APGAR ST & MARTIN LUTHER KING JR WY,Oakland,CA,37.8281992,-122.2688222,94609
2459,THEFT/LARCENY,2018-01-25 08:45:00,18-004453,PETTY THEFT,15X,1000 MACARTHUR BLVD,Oakland,CA,37.8056123,-122.2372805,94610
2460,DRUGS/ALCOHOL VIOLATIONS,2018-01-25 03:30:00,18-004364,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM,30Y,2700 77TH AV,Oakland,CA,37.7658897,-122.1708133,94605
2461,BURGLARY,2018-03-09 00:01:00,18-012235,BURGLARY-FORCIBLE ENTRY,07X,2500 PERALTA ST,Oakland,CA,37.8191653,-122.2872746,94607
2462,THEFT/LARCENY,2018-01-24 20:30:00,18-004342,BURGLARY-AUTO,04X,1900 WEBSTER ST,Oakland,CA,37.8069464,-122.2663344,94612
2463,ASSAULT,2018-01-24 22:50:00,18-004344,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32Y,2000 102ND AV,Oakland,CA,37.7431163,-122.1613223,94603
2464,DISTURBING THE PEACE,2018-01-21 21:00:00,18-004249,DISTURB THE PEACE,29X,6100 OVERDALE AV,Oakland,CA,37.7802161,-122.175057,94605
2465,ASSAULT,2018-01-24 13:35:00,18-004271,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,07X,2600 MYRTLE ST,Oakland,CA,37.8177816,-122.2786124,94607
